locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),locatie,advies: controlemiddel,hoofdfunctie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2017-06-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 239 tapkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,239,
Nieuwehagen (HW),2017-06-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,2.07,2.08
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,2.07,2.08
Nieuwehagen (HW),2017-06-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 314 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,314,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 314 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,314,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Boiler: temperatuur,Ketelhuis (technische ruimte),Temperatuur van het uitgaande water periodiek controleren: ,WWB,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem / hoofdleiding:temperatuurcontrole,Ketelhuis (technische ruimte),"Temperatuur van het warmwatercirculatiesysteemcontroleren. Voer dit uit door het registreren van de temperatuur van het retour water, boven 60°C.",WWC,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,,
Nieuwehagen (HW),2017-06-01,Maandelijks,< 25°C,Temperatuurmeting,Keukenmengkraan ruimte 0.31,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,0.31,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Temperatuurmeting close in boiler,Keukenmengkraan ruimte 0.31,Temperatuurcontrole.,WW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,0.31,
Nieuwehagen (HW),2017-06-01,Maandelijks,< 25°C,Temperatuurmeting,Keukenmengkraan personeelsruimte eerste verdieping,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Temperatuurmeting close in boiler,Keukenmengkraan personeelsruimte eerste verdieping,Temperatuurcontrole.,WW,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem: deelringen,Systeem plafond begane grond,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Bij constante meetwaarden volstaat maandelijks.,WWC,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,,
Nieuwehagen (HW),2017-06-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem: deelringen,Systeem plafond tweede verdieping,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Bij constante meetwaarden volstaat maandelijks.,WWC,JA,,Servicedienst Nieuwehagen,2017-06-28 08:11:39,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Kleedruimte heren kelder douchemengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Kleedruimte heren kelder douchemengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Spoelruimte Begane grond PG afdeling keukenmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Spoelruimte Begane grond PG afdeling keukenmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 116 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,116,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 116 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,116,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.06 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,2.06,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.06 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,2.06,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.13 (flexplek) wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,2.13,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.13 (flexplek) wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,2.13,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 239 tapkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,239,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,2.07,2.08
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,2.07,2.08
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 314 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,314,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 314 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,314,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Boiler: temperatuur,Ketelhuis (technische ruimte),Temperatuur van het uitgaande water periodiek controleren: ,WWB,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem / hoofdleiding:temperatuurcontrole,Ketelhuis (technische ruimte),"Temperatuur van het warmwatercirculatiesysteemcontroleren. Voer dit uit door het registreren van de temperatuur van het retour water, boven 60°C.",WWC,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Keukenmengkraan ruimte 0.31,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,0.31,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting close in boiler,Keukenmengkraan ruimte 0.31,Temperatuurcontrole.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,0.31,
Nieuwehagen (HW),2017-07-01,Maandelijks,< 25°C,Temperatuurmeting,Keukenmengkraan personeelsruimte eerste verdieping,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Temperatuurmeting close in boiler,Keukenmengkraan personeelsruimte eerste verdieping,Temperatuurcontrole.,WW,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem: deelringen,Systeem plafond begane grond,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Bij constante meetwaarden volstaat maandelijks.,WWC,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-07-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem: deelringen,Systeem plafond tweede verdieping,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Bij constante meetwaarden volstaat maandelijks.,WWC,JA,,Servicedienst Nieuwehagen,2017-08-01 08:57:01,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Kleedruimte heren kelder douchemengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Kleedruimte heren kelder douchemengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Spoelruimte Begane grond PG afdeling keukenmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Spoelruimte Begane grond PG afdeling keukenmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 116 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,116,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 116 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,116,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.06 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,2.06,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.06 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,2.06,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.13 (flexplek) wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,2.13,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.13 (flexplek) wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,2.13,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 239 tapkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,239,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,2.07,2.08
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,2.07,2.08
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 314 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,314,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 314 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,314,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Boiler: temperatuur,Ketelhuis (technische ruimte),Temperatuur van het uitgaande water periodiek controleren: ,WWB,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem / hoofdleiding:temperatuurcontrole,Ketelhuis (technische ruimte),"Temperatuur van het warmwatercirculatiesysteemcontroleren. Voer dit uit door het registreren van de temperatuur van het retour water, boven 60°C.",WWC,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Keukenmengkraan ruimte 0.31,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,0.31,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting close in boiler,Keukenmengkraan ruimte 0.31,Temperatuurcontrole.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,0.31,
Nieuwehagen (HW),2017-08-01,Maandelijks,< 25°C,Temperatuurmeting,Keukenmengkraan personeelsruimte eerste verdieping,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Temperatuurmeting close in boiler,Keukenmengkraan personeelsruimte eerste verdieping,Temperatuurcontrole.,WW,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem: deelringen,Systeem plafond begane grond,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Bij constante meetwaarden volstaat maandelijks.,WWC,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-08-01,Maandelijks,> 60°C,Warmwatercirculatie-systeem: deelringen,Systeem plafond tweede verdieping,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Bij constante meetwaarden volstaat maandelijks.,WWC,JA,,Servicedienst Nieuwehagen,2017-08-08 10:33:40,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,douchemengkraan,Kleedruimte heren kelder ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,douchemengkraan,Kleedruimte heren kelder ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,keukenmengkraan,Spoelruimte Begane grond PG afdeling ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen.,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,keukenmengkraan,Spoelruimte Begane grond PG afdeling,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen.,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 116 ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,116,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 116 ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,116,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 2.06 ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,2.06,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 2.06 ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,2.06,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 2.13 (flexplek) ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,2.13,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 2.13 (flexplek) ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen.,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,2.13,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,tapkraan,Ruimte 239 ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,239,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,2.07,2.08
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,2.07,2.08
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 314 ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,314,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,wastafelmengkraan,Ruimte 314 ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,314,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Boiler: temperatuur,Ketelhuis (technische ruimte),Temperatuur van het uitgaande water periodiek controleren. Noteer deze in de kolom temperatuurmetingen  ,WWB,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Warmwatercirculatie-systeem / hoofdleiding:temperatuurcontrole,Ketelhuis (technische ruimte),"Temperatuur van het warmwatercirculatiesysteemcontroleren. Voer dit uit door het registreren van de temperatuur van het retour water, boven 60°C. Noteer deze in de kolom temperatuurmetingen",WWC,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Keukenmengkraan ,ruimte 0.31,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,0.31,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Keukenmengkraan, ruimte 0.31,Temperatuur controle. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,0.31,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Keukenmengkraan ,personeelsruimte eerste verdieping,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Keukenmengkraan close in boiler, personeelsruimte eerste verdieping,Temperatuur controle. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Warmwatercirculatie-systeem: deelringen,Systeem plafond begane grond,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Noteer deze in de kolom temperatuurmetingen,WWC,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-09-01,Maandelijks,Temperatuurmeting,Warmwatercirculatie-systeem: deelringen,Systeem plafond tweede verdieping,Temperatuur van het warme water periodiek controleren aan het eind van de deelcirculatie. Noteer deze in de kolom temperatuurmetingen,WWC,JA,,Servicedienst Nieuwehagen,2017-09-19 12:08:56,JA,,
Nieuwehagen (HW),2017-10-01,Maandelijks,Temperatuurmeting,douchemengkraan,Kleedruimte heren kelder ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,KW,JA,,Servicedienst Nieuwehagen,2017-10-18 08:18:13,JA,,
Nieuwehagen (HW),2017-10-01,Maandelijks,Temperatuurmeting,douchemengkraan,Kleedruimte heren kelder ,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen,WW,JA,,Servicedienst Nieuwehagen,2017-10-18 08:18:13,JA,,
Nieuwehagen (HW),2017-10-01,Maandelijks,Temperatuurmeting,keukenmengkraan,Spoelruimte Begane grond PG afdeling ,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Noteer deze in de kolom temperatuurmetingen.,KW,JA,,Servicedienst Nieuwehagen,2017-10-18 08:18:13,JA,,
