locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),locatie,advies: controlemiddel,hoofd- functie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,2.13,
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,,
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,,
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.39 tapkraan tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,2.39,
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,2.07,2.08
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,2.07,2.08
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,314,
Nieuwehagen (HW),2017-01-16,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,314,
Nieuwehagen (HW),2017-01-16,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tappunten in Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,,
Nieuwehagen (HW),2017-01-16,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tappunten in Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,,
Nieuwehagen (HW),2017-01-16,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 2.42 tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,2.42,
Nieuwehagen (HW),2017-01-16,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 1.47 eerste verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,1.47,
Nieuwehagen (HW),2017-01-16,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de eetkamer eerste verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,,
Nieuwehagen (HW),2017-01-16,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 4 PG afdeling begane grond,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-17 10:35:06,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,116,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,116,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.06,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.06,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.13,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.13,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.39 tapkraan tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.39,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.07,2.08
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.07,2.08
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,314,
Nieuwehagen (HW),2017-01-23,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,314,
Nieuwehagen (HW),2017-01-23,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tappunten in Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tappunten in Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 2.42 tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,2.42,
Nieuwehagen (HW),2017-01-23,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 1.47 eerste verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,1.47,
Nieuwehagen (HW),2017-01-23,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de eetkamer eerste verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-23,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 4 PG afdeling begane grond,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2017-01-24 11:28:30,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,116,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,116,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.06,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.06,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.13,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.13,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.39 tapkraan tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.39,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.07,2.08
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.07,2.08
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,314,
Nieuwehagen (HW),2017-01-30,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,314,
Nieuwehagen (HW),2017-01-30,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tappunten in Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,nvt,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tappunten in Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,nvt,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 2.42 tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,2.42,
Nieuwehagen (HW),2017-01-30,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 1.47 eerste verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,1.47,
Nieuwehagen (HW),2017-01-30,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de eetkamer eerste verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-01-30,Indien aan de orde,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Tapkraan boven het aanrecht in de huiskamer 4 PG afdeling begane grond,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Sascha Vreeswijk-Asselman,2017-02-02 16:04:35,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,"22,9 / 11,9",Roland Rozenveld,2017-02-10 21:24:46,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,"11,9 / 37,3",Roland Rozenveld,2017-02-10 21:24:46,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen",KW,JA,"21,8 / 12,1",Roland Rozenveld,2017-02-10 21:24:46,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,"12,1 / 40,0",Roland Rozenveld,2017-02-10 21:24:46,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,"21,7 / 9,7",Roland Rozenveld,2017-02-10 21:24:46,JA,116,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,"9,7 / 34,9",Roland Rozenveld,2017-02-10 21:24:46,JA,116,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Roland Rozenveld,2017-02-10 21:24:46,JA,2.06,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,,Roland Rozenveld,2017-02-10 21:24:46,JA,2.06,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,"21,8 / 8,9",Roland Rozenveld,2017-02-10 21:24:46,JA,2.13,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,"8,9 / 62,0",Roland Rozenveld,2017-02-10 21:24:46,JA,2.13,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,"22,6 / 10,8",Roland Rozenveld,2017-02-10 21:24:46,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen met warm water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",WW,JA,"10,8 / 63,4",Roland Rozenveld,2017-02-10 21:24:46,JA,,
Nieuwehagen (HW),2017-02-06,Wekelijks,Voorkomen stilstand van water,Tappunten / leidingdelen: niet wekelijks gebruikt,Ruimte 2.39 tapkraan tweede verdieping,"Werkwijze: doorspoelen met koud water totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,"21,9 / 11,1",Roland Rozenveld,2017-02-10 21:24:46,JA,2.39,
